Source,Target,Weight,Type
100,1,0.013057671,undirected
100,2,0.0032644178,undirected
100,5,0.0054406964,undirected
100,7,0.007616975,undirected
100,8,0.07508161,undirected
100,9,0.017410229,undirected
100,10,0.0032644178,undirected
100,11,0.0097932535,undirected
100,12,0.010881393,undirected
100,14,0.25244831,undirected
100,15,0.022850925,undirected
100,18,0.019586507,undirected
100,19,0.007616975,undirected
101,0,0.025945946,undirected
101,3,0.042162162,undirected
101,4,0.0054054054,undirected
101,5,0.036756757,undirected
101,7,0.033513514,undirected
101,8,0.14810811,undirected
101,11,0.051891892,undirected
101,12,0.016216216,undirected
101,13,0.016216216,undirected
101,15,0.027027027,undirected
101,18,0.023783784,undirected
101,21,0.021621622,undirected
102,0,0.020518359,undirected
102,3,0.058315335,undirected
102,4,0.012958963,undirected
102,5,0.068034557,undirected
102,7,0.052915767,undirected
102,8,0.12634989,undirected
102,11,0.046436285,undirected
102,12,0.0043196544,undirected
102,15,0.01187905,undirected
102,17,0.0010799136,undirected
102,18,0.03887689,undirected
102,21,0.012958963,undirected
103,0,0.034820457,undirected
103,1,0.0010881393,undirected
103,3,0.073993471,undirected
103,4,0.0065288357,undirected
103,5,0.059847661,undirected
103,7,0.028291621,undirected
103,8,0.12404788,undirected
103,11,0.019586507,undirected
103,13,0.0065288357,undirected
103,15,0.023939064,undirected
103,18,0.029379761,undirected
103,20,0.0054406964,undirected
103,21,0.041349293,undirected
104,0,0.036637931,undirected
104,3,0.058189655,undirected
104,4,0.018318966,undirected
104,5,0.016163793,undirected
104,7,0.02262931,undirected
104,8,0.13900862,undirected
104,9,0.0010775862,undirected
104,11,0.043103448,undirected
104,13,0.037715517,undirected
104,15,0.0075431034,undirected
104,18,0.025862069,undirected
104,19,0.0010775862,undirected
104,21,0.045258621,undirected
105,0,0.054525627,undirected
105,3,0.056706652,undirected
105,4,0.0098146129,undirected
105,5,0.06434024,undirected
105,7,0.045801527,undirected
105,8,0.10577972,undirected
105,10,0.0021810251,undirected
105,11,0.021810251,undirected
105,13,0.0032715376,undirected
105,15,0.014176663,undirected
105,18,0.030534351,undirected
105,20,0.0032715376,undirected
105,21,0.029443839,undirected
105,22,0.0021810251,undirected
106,0,0.011995638,undirected
106,1,0.0021810251,undirected
106,3,0.044711014,undirected
106,4,0.018538713,undirected
106,5,0.067611778,undirected
106,7,0.074154853,undirected
106,8,0.13958561,undirected
106,11,0.035986914,undirected
106,12,0.0032715376,undirected
106,15,0.0043620502,undirected
106,18,0.018538713,undirected
106,20,0.0065430752,undirected
106,21,0.030534351,undirected
106,23,0.0021810251,undirected
107,0,0.020364416,undirected
107,1,0.0021436227,undirected
107,2,0.0032154341,undirected
107,3,0.040728832,undirected
107,4,0.028938907,undirected
107,5,0.046087889,undirected
107,7,0.032154341,undirected
107,8,0.14898178,undirected
107,11,0.010718114,undirected
107,13,0.030010718,undirected
107,15,0.013933548,undirected
107,16,0.0085744909,undirected
107,18,0.0064308682,undirected
107,20,0.0064308682,undirected
107,21,0.045016077,undirected
108,0,0.0053937433,undirected
108,1,0.0010787487,undirected
108,2,0.0064724919,undirected
108,3,0.0798274,undirected
108,4,0.014023732,undirected
108,5,0.075512406,undirected
108,7,0.037756203,undirected
108,8,0.14023732,undirected
108,11,0.022653722,undirected
108,18,0.024811219,undirected
108,20,0.0075512406,undirected
108,21,0.0399137,undirected
109,0,0.022678186,undirected
109,3,0.062634989,undirected
109,4,0.016198704,undirected
109,5,0.059395248,undirected
109,7,0.020518359,undirected
109,8,0.18034557,undirected
109,11,0.025917927,undirected
109,12,0.0010799136,undirected
109,13,0.016198704,undirected
109,15,0.0010799136,undirected
109,18,0.0032397408,undirected
109,19,0.0010799136,undirected
109,20,0.0021598272,undirected
109,21,0.034557235,undirected
110,0,0.043431053,undirected
110,2,0.006514658,undirected
110,3,0.048859935,undirected
110,4,0.0076004343,undirected
110,5,0.061889251,undirected
110,6,0.006514658,undirected
110,7,0.03257329,undirected
110,8,0.09771987,undirected
110,11,0.056460369,undirected
110,13,0.0043431053,undirected
110,15,0.0054288817,undirected
110,18,0.018458198,undirected
110,21,0.033659066,undirected
110,23,0.0010857763,undirected
111,0,0.038793103,undirected
111,2,0.0064655172,undirected
111,3,0.033405172,undirected
111,4,0.0096982759,undirected
111,5,0.064655172,undirected
111,7,0.074353448,undirected
111,8,0.11314655,undirected
111,11,0.032327586,undirected
111,13,0.018318966,undirected
111,18,0.036637931,undirected
111,21,0.017241379,undirected
112,0,0.034224599,undirected
112,3,0.070588235,undirected
112,5,0.060962567,undirected
112,6,0.007486631,undirected
112,7,0.053475936,undirected
112,8,0.12513369,undirected
