Topic,TokenCount,Words
0,17638,"amour coeur âme voir mal flamme espoir heureux esprit objet"
1,4226,"dieu jupiter théâtre racine gloire grand sémélé melle temps princesse"
2,6183,"yeux ciel encor jour repos dessein voeux peine hercule soleil"
3,22390,"point madame coeur voir yeux ciel âme scène faut jour"
4,6664,"sang crime dieux fureur coupable trépas vertu lâche sauver juge"
5,18456,"amour faut faire aime foi oui amant yeux flamme peine"
6,6443,"prince alcandre monsieur isabelle oronte fort fédéric vois grand mieux"
7,14526,"roi père prince fils cour faire grand jour choix encor"
8,6173,"dieux seigneur fille père fils agamemnon mère cassandre sang achille"
9,4362,"faire choses chose hommes monde alceste caractère jamais donné action"
10,5364,"don sanche léonore comte monsieur rodrigue pedre grand japhet carlos"
11,13538,"roi grand reine ciel sort rois donne gloire trône haine"
12,8849,"point honneur faire vertu estime voit temps mérite fort veut"
13,10550,"dieux dieu terre yeux corps grand oeil mort coup déjà"
14,4929,"roi imprimer paris faire privilège comédie jour théâtre libraire peine"
15,6436,"fit jour point nuit père bruit temps jours ennemis pays"
16,4139,"roi sire esther seigneur peuple sicile juifs haman paix yeux"
17,7552,"faire point oui veux homme fort femme faut donne chose"
18,8443,"gloire prince frère victoire bras trône léon roi voir donne"
19,13029,"faire frère voir mal scène faut honneur homme esprit fille"
20,3714,"seigneur titus rome reine pleurs bérénice faut lois jours empire"
21,17485,"mort point père honneur scène vie douleur bras sort mourir"
22,3094,"don scène lucipe clitophon infante bernard lope dessein comte jamais"
23,3668,"phèdre thésée hippolyte andromède aricie phinée monstre oenone point persée"
24,4717,"césar point orante esprit dessein brute main faut âme voir"
