word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
agamemnon,0,0,0,0,0,0,0,0,0.01652357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tragédie,0,0.0082820634,0,0,0,0,0,0,0,0,0,0,0,0,0.0075065936,0,0,0,0,0,0,0,0,0.005997819,0
lxxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
privilège,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017041996,0.00015537601,0,0,0,0,0,0,0,0.0010905125,0
roi,0,0,0,0,0,0,0,0.02719262,0,0,0,0.020239326,0,0,0.025562995,0,0.076346944,0,0.011607249,0,0,0,0,0,0
louis,0,0,0,0,0,0,0,0,0,0,0.0089485459,0,0.0015820997,0,0.0030432136,0,0,0,0,0,0,0,0,0.00054525627,0
grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060864273,0,0,0,0,0,0,0,0,0,0
dieu,0,0.031708471,0,0,0,0,0,0,0,0,0.0052199851,0,0,0.018957346,0.0024345709,0,0.0084561488,0.0054290254,0,0,0,0,0,0,0
france,0,0,0,0,0,0.00010836584,0,0,0,0,0,0,0,0,0.0068979509,0,0,0,0,0,0,0,0,0,0.0010599958
navarre,0,0,0,0,0,0,0,0,0,0,0,0.000073866155,0,0,0.0014201664,0,0,0,0,0,0,0,0.0019392372,0,0
aimés,0,0,0,0,0.00045018007,0,0,0,0,0,0,0,0,0,0.00060864273,0,0.00096641701,0,0,0,0,0,0,0,0.00021199915
féaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024345709,0,0,0,0,0,0,0,0,0,0
conseillers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020288091,0,0,0,0.00011844131,0,0,0,0,0,0
cours,0,0,0.0016173379,0,0,0.0037386216,0,0,0,0,0,0,0,0,0.0020288091,0,0.004832085,0,0,0,0,0.0020589076,0,0,0
parlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024345709,0,0,0,0,0,0,0,0,0,0
maîtres,0,0,0,0,0.0018007203,0,0,0,0,0.0020632737,0,0,0,0,0.0010144045,0,0,0,0,0,0,0,0,0,0
requêtes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
ordinaires,0,0,0,0,0,0,0,0,0,0,0,0,0.0012430783,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
hôtel,0,0.0035494558,0,0,0,0,0,0,0,0,0,0,0,0,0.0052749036,0,0,0,0,0,0,0,0,0,0
prévôt,0,0,0,0,0,0,0,0,0,0,0.0016778523,0,0,0,0.00060864273,0,0,0,0,0,0,0,0,0,0
paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020693853,0,0,0,0,0,0,0,0,0,0
lieutenant,0,0.00023663038,0,0,0,0,0.0004656216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
général,0,0,0,0,0,0,0,0,0,0.0016047685,0,0,0.00067804272,0,0,0,0,0,0,0,0,0,0,0,0
police,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
baillis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040576182,0,0,0,0,0,0,0,0,0,0
sénéchaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
prévôts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
lieutenants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
officiers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018259282,0.00015537601,0,0,0,0,0,0,0,0,0
appartiendra,0.00005669577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018259282,0,0,0,0,0,0,0,0,0,0
salut,0,0,0,0,0.0027010804,0,0,0,0,0,0,0,0,0,0.0018259282,0,0,0,0,0.0021490521,0,0,0,0,0
aimé,0,0,0,0.0043322912,0,0,0,0,0,0,0,0,0,0,0.00223169,0,0,0,0,0,0,0,0,0,0
sieur,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028436019,0.0052749036,0,0,0,0,0,0,0,0,0,0
pader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040576182,0,0,0,0,0,0,0,0,0,0
assezan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060864273,0,0,0,0,0,0,0,0,0,0
remontrer,0,0,0,0,0,0,0,0,0,0,0,0.00014773231,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
composé,0,0,0,0,0,0,0,0,0,0,0,0.00014773231,0,0,0.0010144045,0,0,0,0,0,0,0,0,0,0
théâtre,0,0.023189778,0,0,0,0,0,0,0,0,0,0,0,0,0.0091296409,0,0.0021744383,0,0,0,0,0,0,0,0
intitulée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032460945,0,0,0,0,0,0,0,0,0,0
représentée,0,0.0033128254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
désirerait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010144045,0,0,0,0,0,0,0,0,0,0
faire,0,0,0.00016173379,0,0,0.014195925,0,0.012735784,0,0.02086199,0,0,0.012882812,0.00018957346,0.018056401,0,0,0.017478814,0.0066327135,0.024407092,0,0,0,0,0
imprimer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024751471,0,0,0,0,0,0,0,0,0,0
donner,0,0,0,0.0027690933,0,0.00065019506,0.0035697656,0.0047501033,0,0,0,0,0,0,0.0034489755,0,0,0.0064883475,0.0072249201,0.0026863151,0,0,0,0,0
public,0,0,0,0,0,0,0,0,0,0.0073360844,0,0,0.00011300712,0,0.0030432136,0,0,0,0,0,0,0,0,0,0.0010599958
lettres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075065936,0,0,0,0,0.00046051117,0,0,0,0,0
permission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032460945,0,0,0,0,0,0,0,0,0,0
